,upper_mean,Balanced_acc,F2_score,AUC,Recall,Precision
12,4.389001376,0.90461593,0.646136332,0.969149469,0.9310384,0.291188634
13,4.281703455,0.905186853,0.653360623,0.969149469,0.926122851,0.300630095
11,4.446685389,0.903385881,0.640721266,0.969149469,0.932265394,0.285229647
14,4.127640459,0.905782539,0.665131552,0.969149469,0.917503598,0.317161335
7,4.521549749,0.902155832,0.635437196,0.969149469,0.933492388,0.279593847
10,4.664927961,0.900497822,0.624083957,0.969149469,0.939657654,0.266900809
6,4.671125247,0.900399062,0.623767104,0.969149469,0.939657654,0.266599386
9,4.69110508,0.899839418,0.622042339,0.969149469,0.939657654,0.265030817
17,3.997467459,0.905560181,0.671697952,0.969149469,0.911330758,0.327840638
15,4.04365608,0.905025272,0.66828332,0.969149469,0.912565326,0.323192553
18,3.938123977,0.905489753,0.675969178,0.969149469,0.907634628,0.334913586
16,4.026098944,0.904868872,0.669153329,0.969149469,0.911330758,0.324825646
8,4.833634368,0.896527076,0.609810356,0.969149469,0.942119215,0.253473713
20,3.827080958,0.905102846,0.682181716,0.969149469,0.901461789,0.346238413
5,4.915398837,0.894675251,0.603262254,0.969149469,0.943353783,0.247535119
4,5.177533662,0.890553443,0.584608737,0.969149469,0.951965462,0.230229044
19,3.790359727,0.903398437,0.681840987,0.969149469,0.896538665,0.348709435
21,3.751684827,0.902986942,0.683435409,0.969149469,0.89406953,0.352358446
31,3.265222265,0.904824552,0.713017821,0.969149469,0.878058017,0.407567413
48,2.929089948,0.905531455,0.733136988,0.969149469,0.866962054,0.453687012
22,3.739669569,0.902731825,0.684037482,0.969149469,0.892834962,0.353927178
23,3.713936823,0.902776742,0.68579079,0.969149469,0.891607968,0.357033636
40,2.941469375,0.905300986,0.732061326,0.969149469,0.866962054,0.451633734
42,2.94193316,0.905300986,0.732061326,0.969149469,0.866962054,0.451633734
38,2.985382685,0.905128233,0.729334359,0.969149469,0.868196622,0.44540545
49,2.984260402,0.905128233,0.729334359,0.969149469,0.868196622,0.44540545
45,2.951877035,0.905202226,0.731610809,0.969149469,0.866962054,0.450816668
37,3.074137541,0.904815568,0.724092253,0.969149469,0.870665758,0.43333562
46,2.998442647,0.904996568,0.728738272,0.969149469,0.868196622,0.444285247
34,3.176572456,0.904326233,0.71635109,0.969149469,0.874361887,0.416317018
53,2.909824095,0.905045869,0.732847906,0.969149469,0.865727486,0.454507982
47,2.96200173,0.904938873,0.730407042,0.969149469,0.866962054,0.448637492
50,2.912041263,0.905012953,0.732695891,0.969149469,0.865727486,0.454228019
52,2.912725147,0.905012953,0.732695891,0.969149469,0.865727486,0.454228019
44,2.964526529,0.904905957,0.730255067,0.969149469,0.866962054,0.448326181
35,3.18004471,0.904260389,0.716067315,0.969149469,0.874361887,0.415849041
32,3.310892058,0.903771065,0.708484678,0.969149469,0.878058017,0.400209879
33,3.183898324,0.904128702,0.715479975,0.969149469,0.874361887,0.41481858
41,2.972506908,0.904741375,0.729507059,0.969149469,0.866962054,0.446953046
39,2.976181101,0.904642626,0.729062684,0.969149469,0.866962054,0.446168582
51,2.891847586,0.904695703,0.733162594,0.969149469,0.864500492,0.456381117
58,2.892354644,0.904695703,0.733162594,0.969149469,0.864500492,0.456381117
55,2.892896924,0.904662787,0.73301303,0.969149469,0.864500492,0.456106822
30,3.332452917,0.903441847,0.707095078,0.969149469,0.878058017,0.398056873
24,3.61333599,0.902286626,0.690358408,0.969149469,0.88667727,0.366492317
63,2.845208883,0.904156264,0.734620365,0.969149469,0.862038931,0.46204702
